spec_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
aegipa,0.839824500754582,0.836068966983013,0.8278685783291658,0.820777544643919,0.817296226395249,0.8099519299925471,0.805246878118897,0.7973098806224759,0.780512944790313,0.7802238711751941,0.7773256651664041,0.7736672394054329,0.7612591779016,0.7554387701405351,0.7447108073857092,0.7409617620519391,0.739334920128345,0.731530827982973,0.719972763802755,0.7113597590685791,0.703700362882893,0.696467711826995,0.6878312994355351,0.6727272667110029,0.661196994359463,0.659503289734025,0.6458532976921949,0.642128168990235,0.631688424649714,0.619670840669929,0.6140328892081949,0.605663903466421,0.592484828800314,0.584230100674584,0.578878545027361,0.56556347865905,0.558297303593854,0.5446439547649871,0.5310907787292279,0.5220752001604411,0.507241461526245
alchco,0.7495399668890691,0.741853408921708,0.7401699580234291,0.738806991514793,0.7286931655215021,0.732835745836586,0.728499523487812,0.72736686084558,0.7354865535084051,0.7218421826715801,0.711077427281934,0.704946306836768,0.7097186657595308,0.6979668429272591,0.7029907649092839,0.691451725995973,0.686717272800025,0.675753603050554,0.677788518186177,0.673048549404905,0.673166869863505,0.663527930061544,0.6593142797140971,0.668060735085097,0.6697690513131479,0.6559020061235911,0.648592448574651,0.6457123005968879,0.64678689473279,0.6390275668872111,0.62955621862286,0.624638030436665,0.624260939004748,0.6212146341534979,0.5957912797467271,0.606353358773307,0.594273412112957,0.60379982042417,0.601808905297131,0.594063415769791,0.5933860791966751
alchla,0.15417348372072198,0.166945541635567,0.15157829103241,0.155918480311764,0.15333984149789,0.15858883948961497,0.151691618726603,0.152140670205954,0.130304799830272,0.137563718621397,0.139546731743406,0.139493354979029,0.130168963124834,0.12297200847094901,0.135832007232595,0.123926373012465,0.137402637546218,0.124767973434234,0.133577146775709,0.122006508516532,0.125813643168266,0.12020980716268599,0.108401662888762,0.120913151480502,0.120088163360122,0.11109770532563198,0.10244471667862101,0.10675637625053899,0.11240207447030301,0.10207383324752099,0.101947224159828,0.10134844374696801,0.100063692614282,0.096142142906666,0.0912565094141977,0.0930082286729803,0.0857753240109923,0.0958943556629678,0.0882291901241533,0.0836402118852771,0.0821324553742047
amaico,0.0760996936827649,0.08541257259207599,0.0821857463902675,0.0882478954180311,0.0915175506405635,0.096418446351821,0.0955586903073211,0.0977446666708331,0.0937028599909401,0.0996598962532612,0.104358453187114,0.110441407324424,0.10962342909130801,0.11197291949282599,0.125170111298057,0.121813784427645,0.131801518056509,0.12730167100772902,0.139318773021073,0.14091018069735997,0.144587570315479,0.14627460611888699,0.137466124314824,0.160738979563472,0.166379681614376,0.156967939130775,0.157268340760903,0.17310967503868,0.17152938825220201,0.174880284366377,0.176118552300344,0.18774442012111603,0.192749844373494,0.188055695979139,0.201915061707918,0.198579201774082,0.20161406158409198,0.21829687182049104,0.21473988072481603,0.21326422049405702,0.2197200202886
andiin,0.0331722954015526,0.035695661351865,0.0345471429930037,0.0353255065596404,0.0381255164491543,0.0373503006403444,0.0382343346764389,0.0386415440211782,0.0356126564134449,0.0386161142094406,0.0418781481457823,0.0442195712908483,0.0428555290199571,0.0449883607196957,0.0437656086865986,0.0457764025814144,0.0468059429963489,0.050394653420903004,0.0500971585636889,0.048837676950183,0.0510461572667419,0.0526738829575017,0.0546818423697433,0.0516821720703318,0.0519274898167049,0.0545230283219705,0.0575162242770837,0.0548727232641254,0.0580797838266874,0.0570297863905049,0.0602987234338955,0.0606889270916208,0.0614667706557141,0.0627255329678741,0.0691611228501943,0.0675250200916395,0.0711963912722669,0.0664098198350208,0.0671160517345128,0.0701415449745566,0.0696201977151265
annosp,0.655899080299728,0.660956283305195,0.66862212716324,0.667754890817398,0.6752193826004599,0.678428318232831,0.6874817650725848,0.690168777671999,0.693235655492268,0.701019027115701,0.707618985888713,0.7149522230528149,0.7194218062138009,0.7249391180193621,0.7220684753994809,0.735142120997692,0.7414197612851229,0.745223632532672,0.748519918598326,0.754241693989702,0.759251633747457,0.763313698587085,0.770266526034169,0.768474395801175,0.770046572040832,0.7793091889155,0.7819579891540099,0.7871991195247858,0.790080420269717,0.7925096123894191,0.7979312993338771,0.801092747041693,0.805318948806015,0.812564075678048,0.8145166133911541,0.820350590754178,0.8244513112766569,0.824819676043048,0.8274080640676958,0.831422837271246,0.833325809667683
apeiti,0.678340662409838,0.6734567636274781,0.685437770970618,0.6753368618215649,0.6807458154802131,0.6834215987562139,0.6972240986146588,0.6961972424071311,0.7031133728481039,0.7057925627669192,0.705741215817389,0.70823056725371,0.7153779045110941,0.713762161429379,0.699800017134919,0.7215624372777291,0.72569812666731,0.728994127353937,0.7260527757186401,0.7315032928780479,0.738140056730832,0.7387481264951808,0.751934615531626,0.7389631498961629,0.739476159914071,0.7532132111677329,0.7531689808184799,0.757442901080915,0.7589585518835109,0.761753412404217,0.767467709119702,0.7631408479312021,0.765994717147675,0.7773180076342731,0.7648911913537622,0.782133222545138,0.783483617219603,0.78241792084861,0.7862501039445708,0.7926727713552779,0.7928424711442751
bacctr,0.925912937659106,0.927583862257795,0.9306973896663959,0.9314785183905899,0.933909443106497,0.93822946824953,0.942837361135886,0.9442940569019159,0.946168890436984,0.9478959854175321,0.949459901921621,0.951692182898792,0.95402390279969,0.9538409776273801,0.954878714674795,0.9580107849693459,0.9616838510610061,0.960927042377772,0.96341205971866,0.964517097069062,0.966913761536104,0.9674504831209141,0.968717333707835,0.9701912059150121,0.9714329306754151,0.9725121232214399,0.9724640591999151,0.9750988611597141,0.976024072520687,0.9765078192414258,0.977521491761148,0.9779430278470641,0.9788395509926049,0.9802930430593051,0.979268162125994,0.981711614758731,0.9819233442878009,0.9834128469325,0.983627406781506,0.9844177232733409,0.984906460912766
bactc1,0.615610055446162,0.62261811638401,0.6101840005390881,0.6204250951074449,0.613291531148573,0.6278963342606011,0.617733041098652,0.622876981075407,0.6129586531253249,0.607613804717826,0.603296456910875,0.600279436160665,0.600240623142431,0.593230118081144,0.6159971339304829,0.595662535340727,0.6040230283495369,0.5928068182330201,0.6040890344457479,0.592465333531683,0.598338906525067,0.592961024055505,0.5794922106349859,0.605308314957986,0.6106633609313511,0.5979739917146911,0.5920995043770729,0.59232062041235,0.6045443563948321,0.594950916783787,0.5912341382373001,0.5916303764894929,0.5932095998693659,0.5891515356936661,0.578000698906917,0.583963650213928,0.570287156041434,0.585756590676672,0.5832577987659979,0.572930474648422,0.5746703023164611
banagu,0.9219994722262299,0.9246002944784941,0.926611346991675,0.9287763074889269,0.930313488707241,0.9344472561015309,0.9370304129046271,0.9389955290246971,0.940082648996187,0.941793284189803,0.943218841187914,0.945048002458366,0.946939852868431,0.9474308187180258,0.9499628171076999,0.9513868819540359,0.954501022485596,0.9543931286356441,0.9569581797282879,0.957725098280064,0.96019178694025,0.9609462579542092,0.9621661829599741,0.964183723885045,0.9655592466996551,0.966314135016236,0.9666388092714019,0.968417428366116,0.969987525014967,0.9703218531718131,0.9715053249971058,0.972339903702638,0.973354416151263,0.974538096843825,0.974198524620645,0.9759803539227891,0.9762202316163442,0.9778122537538231,0.9782654630404509,0.97888815690402,0.97966837417761
